Country,Total_Runs,Avg_Record_Time,Num_Records,Num_Games,ISO3,Longitude,Latitude
United States,421371,3648.5619504276992,19601,945,USA,-95.7129,37.0902
Canada,64969,3159.340508035611,2883,541,CAN,-106.3468,56.1304
Japan,64079,4914.947419915978,2539,355,JPN,138.2529,36.2048
Germany,40529,4430.341506053811,2230,422,DEU,10.4515,51.1657
Australia,36728,3520.13766309987,1542,345,AUS,133.7751,-25.2744
France,32509,3697.807454159077,1647,378,FRA,2.2137,46.2276
United Kingdom,30707,3014.888833995084,1763,379,GBR,-3.436,55.3781
Brazil,23796,2546.5651648668104,1852,248,BRA,-51.9253,-14.235
Poland,21502,2027.3927141444117,674,177,POL,19.1451,51.9194
Finland,20791,5267.245236397253,631,200,FIN,25.7482,61.9241
Netherlands,20785,4469.922130471381,792,202,NLD,5.2913,52.1326
Sweden,17068,3318.8892875064003,651,193,SWE,18.6435,60.1282
Argentina,14054,1960.7149785373608,629,107,ARG,-63.6167,-38.4161
China,13768,2964.15078115942,460,111,CHN,104.1954,35.8617
Italy,13063,2165.007320479863,389,118,ITA,12.5674,41.8719
Norway,10500,2139.803298775153,381,96,NOR,8.4689,60.472
South Korea,6378,3385.564913436692,387,90,KOR,127.7669,35.9078
Spain,6195,3387.778318302387,377,110,ESP,-3.7492,40.4637
Chile,5160,2896.292987672584,338,95,CHL,-71.543,-35.6751
Mexico,4922,2812.5413262786597,378,103,MEX,-102.5528,23.6345
Ireland,4651,2349.347855754858,223,85,IRL,-8.2439,53.4129
New Zealand,4556,4206.3105738255035,298,84,NZL,174.886,-40.9006
Denmark,4499,4970.654402628435,279,91,DNK,9.5018,56.2639
Austria,4358,5149.1235009310985,179,66,AUT,14.5501,47.5162
Antarctica,4266,2550.670150698603,167,64,ATA,0.0,0.0
Hungary,4121,3449.2988860759497,158,57,HUN,19.5033,47.1625
Ukraine,4119,2315.5468473333335,250,90,UKR,0.0,0.0
Switzerland,4036,6157.534588201604,291,74,CHE,8.2275,46.8182
Czech Republic,3293,2662.6710590277776,192,60,CZE,15.473,49.8175
Belgium,2966,3930.253704783259,223,76,BEL,4.4699,50.5039
Portugal,2795,3906.0486893115944,184,66,PRT,-8.2245,39.3999
Serbia,2780,1412.9705666666666,50,16,SRB,0.0,0.0
Vietnam,2599,423.59636585365854,164,28,VNM,0.0,0.0
Indonesia,2473,1014.6590086956522,115,32,IDN,0.0,0.0
Palau,2408,1261.6219713541666,64,5,PLW,0.0,0.0
Philippines,2325,1521.3919778368795,188,67,PHL,0.0,0.0
Bulgaria,2305,3300.911949152542,59,24,BGR,0.0,0.0
Peru,2127,904.3861542553192,94,19,PER,0.0,0.0
Singapore,1880,1977.40196996997,111,35,SGP,103.8198,1.3521
Hong Kong,1827,1147.2870479452056,73,28,HKG,114.1095,22.3964
Romania,1705,1452.3940698005697,117,49,ROU,0.0,0.0
Colombia,1636,2665.3642717391303,46,28,COL,0.0,0.0
Estonia,1600,5046.211702185793,122,36,EST,0.0,0.0
Israel,1568,1536.1402177177176,111,32,ISR,0.0,0.0
India,1535,960.7067870370372,90,28,IND,0.0,0.0
Thailand,1231,761.0859426229508,61,17,THA,100.9925,15.87
Taiwan,1142,2699.70882010582,63,27,TWN,120.9605,23.6978
Greece,1081,2809.7942843137253,102,37,GRC,21.8243,39.0742
Slovakia,1060,2592.6163120567376,47,21,SVK,0.0,0.0
Isle of Man,1047,1996.934185185185,18,5,IMN,0.0,0.0
Kuwait,885,3508.459188405797,23,9,KWT,0.0,0.0
Mongolia,773,2420.9122807017543,19,4,MNG,0.0,0.0
Malaysia,758,2763.2966071428573,84,28,MYS,0.0,0.0
United Arab Emirates,683,2065.1529583333336,24,11,ARE,0.0,0.0
Panama,665,2542.890819047619,35,9,PAN,0.0,0.0
Iceland,661,1297.1163308080809,66,17,ISL,0.0,0.0
Uruguay,642,2242.539764227642,41,13,URY,0.0,0.0
Lithuania,633,1285.267524774775,74,24,LTU,0.0,0.0
Latvia,626,3047.0570157232705,53,20,LVA,0.0,0.0
Malta,582,537.5489833333334,10,5,MLT,0.0,0.0
Ecuador,574,1490.6318524590165,61,10,ECU,0.0,0.0
Somalia,571,476.45967500000006,20,4,SOM,0.0,0.0
Bahrain,562,1424.9065696517414,67,9,BHR,0.0,0.0
Albania,523,90.45903921568627,51,3,ALB,0.0,0.0
Belarus,500,1375.743288288288,37,22,BLR,0.0,0.0
South Africa,493,1925.8799333333332,40,12,ZAF,22.9375,-30.5595
Nauru,491,38.90298507462686,67,1,NRU,0.0,0.0
Saudi Arabia,490,4143.27,9,9,SAU,0.0,0.0
Honduras,468,2575.251476190476,7,6,HND,0.0,0.0
Croatia,463,4256.445654320988,27,19,HRV,0.0,0.0
Guatemala,454,6434.957666666667,7,4,GTM,0.0,0.0
Egypt,426,4075.62755345912,53,10,EGY,0.0,0.0
Faroe Islands,374,3839.111111111111,3,3,FRO,0.0,0.0
Luxembourg,363,3179.4184149659864,49,11,LUX,0.0,0.0
Uganda,355,2267.7876666666666,10,4,UGA,0.0,0.0
Venezuela,354,1201.3953703703703,9,7,VEN,0.0,0.0
Georgia,351,1169.4123970588237,34,8,GEO,0.0,0.0
Slovenia,322,2646.2317261904764,42,11,SVN,0.0,0.0
Nepal,295,1621.2651929824565,19,7,NPL,0.0,0.0
Algeria,273,3596.1964444444443,9,8,DZA,0.0,0.0
Morocco,265,1141.9527222222223,18,5,MAR,0.0,0.0
Nicaragua,265,6761.974358974359,13,4,NIC,0.0,0.0
Paraguay,255,4578.206444444444,12,8,PRY,0.0,0.0
Costa Rica,252,1605.657333333333,19,10,CRI,0.0,0.0
Bolivia,241,1411.743724137931,29,9,BOL,0.0,0.0
Mauritius,221,209.70826666666667,5,1,MUS,0.0,0.0
Gibraltar,209,2901.090395480226,59,1,GIB,0.0,0.0
Kazakhstan,178,2350.820777777778,15,10,KAZ,0.0,0.0
Seychelles,175,1561.537,9,5,SYC,0.0,0.0
Yemen,173,269.22277777777776,6,1,YEM,0.0,0.0
Guam,171,436.8666666666667,4,2,GUM,0.0,0.0
Uzbekistan,159,2368.9333333333334,7,3,UZB,0.0,0.0
Chad,157,1576.9322142857145,28,8,TCD,0.0,0.0
Jordan,148,8517.115066666665,5,3,JOR,0.0,0.0
Zimbabwe,144,89.94606097560975,41,6,ZWE,0.0,0.0
Cyprus,123,242.21658333333332,4,3,CYP,0.0,0.0
Lebanon,111,380.10506666666663,5,5,LBN,0.0,0.0
North Korea,105,1411.7079761904763,14,3,PRK,0.0,0.0
North Macedonia,101,189.33283333333333,2,2,MKD,0.0,0.0
Cuba,95,1095.8545714285715,7,3,CUB,0.0,0.0
Puerto Rico,95,1375.802888888889,12,10,PRI,0.0,0.0
Pakistan,93,1609.5699743589744,13,6,PAK,0.0,0.0
Iran,91,1222.5293333333334,5,5,IRN,0.0,0.0
Nigeria,85,164.16666666666669,2,1,NGA,0.0,0.0
Bangladesh,81,22.31128,25,2,BGD,0.0,0.0
Tajikistan,80,13.520500000000002,2,1,TJK,0.0,0.0
Bosnia and Herzegovina,79,520.6539583333333,12,6,BIH,0.0,0.0
Dominican Republic,77,1453.8016,10,5,DOM,0.0,0.0
Angola,75,62.42424242424242,11,1,AGO,0.0,0.0
El Salvador,72,444.3496,5,5,SLV,0.0,0.0
Bouvet Island,71,561.7091666666668,4,2,BVT,0.0,0.0
Greenland,69,1224.8333333333337,2,2,GRL,0.0,0.0
Kyrgyzstan,69,5818.240740740741,9,3,KGZ,0.0,0.0
Tunisia,68,1595.790512345679,27,5,TUN,0.0,0.0
Montenegro,68,556.59,3,1,MNE,0.0,0.0
Cambodia,63,92.89833333333334,2,1,KHM,0.0,0.0
Iraq,59,2234.3968333333332,6,4,IRQ,0.0,0.0
Mayotte,54,767.4241666666667,4,1,MYT,0.0,0.0
Åland Islands,51,461.2666666666666,5,1,ALA,0.0,0.0
Norfolk Island,48,2652.5757575757575,11,1,NFK,0.0,0.0
Eswatini,44,668.6103333333333,5,2,SWZ,0.0,0.0
"Virgin Islands, U.S.",44,3649.052361111111,12,5,VIR,0.0,0.0
Moldova,42,1138.02158974359,13,6,MDA,0.0,0.0
French Southern Territories,39,159968.0,2,2,ATF,0.0,0.0
Kiribati,35,1126.26725,4,1,KIR,0.0,0.0
Qatar,34,3780.8958333333335,8,4,QAT,0.0,0.0
Guernsey,30,814.3211111111112,3,1,GGY,0.0,0.0
Oman,30,1.3173333333333332,1,1,OMN,0.0,0.0
Aruba,30,328.6474666666667,5,2,ABW,0.0,0.0
Syria,29,3089.028638888889,6,2,SYR,0.0,0.0
Trinidad and Tobago,27,71.94,2,1,TTO,0.0,0.0
Azerbaijan,25,6.2556666666666665,1,1,AZE,0.0,0.0
Armenia,23,3462.333333333333,2,2,ARM,0.0,0.0
Cameroon,23,14.459333333333332,2,1,CMR,0.0,0.0
Afghanistan,23,3222.3433333333337,2,2,AFG,0.0,0.0
Barbados,21,4069.103333333333,2,2,BRB,0.0,0.0
Vanuatu,21,386.5083333333333,2,1,VUT,0.0,0.0
Sao Tome and Principe,20,5519.946875,8,4,STP,0.0,0.0
Eritrea,19,615.2886666666667,1,1,ERI,0.0,0.0
Sri Lanka,18,16.825777777777777,3,2,LKA,0.0,0.0
Kenya,18,2670.3333333333335,1,1,KEN,0.0,0.0
Monaco,17,31.263733333333334,5,2,MCO,0.0,0.0
"Virgin Islands, British",16,23337.991555555553,3,2,VGB,0.0,0.0
San Marino,13,580.8166666666666,1,1,SMR,0.0,0.0
Guinea,11,683.0,1,1,GIN,0.0,0.0
Liberia,10,925.0073333333332,1,1,LBR,0.0,0.0
Antigua and Barbuda,9,81.93433333333333,1,1,ATG,0.0,0.0
Namibia,8,404.0566666666667,1,1,NAM,0.0,0.0
Pitcairn,8,572.1166666666667,2,1,PCN,0.0,0.0
Réunion,7,208.07,1,1,REU,0.0,0.0
Jersey,7,3103.6666666666665,1,1,JEY,0.0,0.0
Bahamas,6,16734.0,1,1,BHS,0.0,0.0
Christmas Island,5,1335.0,1,1,CXR,0.0,0.0
Belize,4,30226.666666666668,1,1,BLZ,0.0,0.0
Benin,4,6232.333333333333,1,1,BEN,0.0,0.0
Botswana,3,14238.666666666666,1,1,BWA,0.0,0.0
Tuvalu,3,8089.476666666667,1,1,TUV,0.0,0.0
American Samoa,3,71.3,1,1,ASM,0.0,0.0
Jamaica,2,198.576,1,1,JAM,0.0,0.0
Togo,1,2613.0,1,1,TGO,0.0,0.0
